Current Assets,Cash,Accounts Receivable,Inventory,Non-Current Assets,Total Assets,Current Liabilities,Long-Term Liabilities,Equity,Retained Earnings,Revenue,COGS,Gross Profit,Operating Income,EBIT,Pretax Income,Tax Expense,Net Income,Interest Expense,SGA Expense,Admin Expense,RD Expense,CFO,company,year,short_term_liabilities_to_assets,equity_to_assets,equity_to_short_term_liabilities,equity_to_long_term_liabilities,fixed_assets_to_total_liabilities,gross_profit_to_long_term_liabilities,current_assets_to_total_liabilities,quick_ratio,working_capital_to_total_assets,operating_income_to_assets,ebit_to_current_liabilities,net_operating_profit_margin,return_on_assets,sales_to_current_assets,asset_turnover,debt_ratio,working_capital_to_net_sales,inventories_to_current_assets,inventories_to_total_assets,operating_income_to_assets_trend_1yr,short_term_liabilities_to_assets_trend_1yr,asset_turnover_trend_1yr,gross_profit_to_long_term_liabilities_trend_1yr,bankruptcy_label,gdp_growth,inflation_rate,interest_rate,usdtry_avg,usdtry_change,unemployment_rate,industrial_prod_growth,credit_growth,m2_growth,gdp_growth_lag1,inflation_rate_lag1,interest_rate_lag1,usdtry_avg_lag1,usdtry_change_lag1,unemployment_rate_lag1,industrial_prod_growth_lag1,credit_growth_lag1,m2_growth_lag1,stl_ta_x_interest,oi_ta_x_unemployment,gp_ltl_x_inflation,margin_x_usdtry,turnover_x_gdp,roa_x_gdp,debt_ratio_x_interest,roa_x_inflation,wc_ta_x_credit,cfo_x_interest,log_assets_x_gdp
64351668.0,1062444.0,10615851.0,16490561.0,98170702.0,162522370.0,38399666.0,6651981.0,117470723.0,90342111.0,63432085.0,-68918589.0,-5486504.0,-14127234.0,-13829442.0,-15167535.0,-381399.0,-15548934.0,-2933273.0,-4289636.0,-4012121.0,0.0,7275498.0,YBTAS,2020,0.2362731112030916,0.7227972555408834,3.0591600197772553,17.659509700944724,2.179070212460823,-0.824792494145729,1.428397678779646,1.2463938358213844,0.1596826455336579,-0.08692485840564594,-0.3601448512599042,-0.222714325092735,-0.09567257725813376,0.9857100362961843,0.3902975633446645,0.27720274445911663,0.4091305212496168,0.2562569318327537,0.10146640736287564,0.00029845252441337844,0.14799455761891833,0.09126909726492421,-0.11504258349330021,0,1.9,12.3,10.25,7.01,23.6,13.2,2.2,34,36,0.9,15.2,12.0,5.67,17.4,13.7,-0.6,8.0,25.0,2.421799389831689,-1.1474081309545263,-10.144947677992468,-5.256058072188546,0.7415653703548625,-0.18177789679045414,2.8413281307059455,-1.1767727002750452,5.4292099481443685,0.45885286130149344,35.922019802416294
109256826.0,1216028.0,30297278.0,34987193.0,100723513.0,209980339.0,86579370.0,7188716.0,116212253.0,74793177.0,168584217.0,-154856016.0,13728201.0,-1244915.0,-786467.0,-1039862.0,-53114.0,-1092976.0,-7483198.0,-8696335.0,-6173954.0,0.0,6435909.0,YBTAS,2021,0.4123213173781951,0.5534434964408739,1.3422626313866686,16.165926293374227,1.0741769113214064,1.9096874880020298,1.1651813603191175,0.8578213609084936,0.10799799689817627,-0.005928721736181215,-0.009083769031814392,-0.007384528766414712,-0.005205134943610125,1.5430085530765831,0.8028571522593837,0.4465565035591261,0.13451707641172603,0.3202288981010669,0.16662128067142515,0.08099613666946473,0.1760482061751035,0.4125595889147192,2.734479982147759,0,11.4,19.6,14.0,8.89,26.8,12.0,17.0,37,42,1.9,12.3,10.25,7.01,23.6,13.2,2.2,34.0,36.0,5.772498443294731,-0.07114466083417458,37.42987476483979,-0.19790537093991428,9.152571535756975,-0.059338538357155426,6.251791049827765,-0.10202064489475846,3.995925885232522,0.4291007740491361,218.4527788495773
398110197.0,6266303.0,191956200.0,183474658.0,826017765.0,1224127962.0,361137653.0,145809032.0,717181277.0,98674174.0,943313639.0,-848327401.0,94986238.0,24529714.0,29298776.0,-16093013.0,-14075924.0,-30168937.0,-50268468.0,-42493756.0,-21757893.0,0.0,95946287.0,YBTAS,2022,0.29501625990959923,0.5858711664655202,1.98589449491715,4.918634100801108,1.6293977048099249,0.6514427583608127,0.7853097944609303,0.5943316550268437,0.030203169233707937,0.02003852110356417,0.0811291089605658,0.026003773279482924,-0.024645247830716574,2.369478717471786,0.7706005158633897,0.41412883353447977,0.0391943278157139,0.460864000426495,0.14988192713140555,0.025967242839745386,-0.11730505746859587,-0.032256636395993965,-1.2582447296412171,0,5.5,72.3,9.0,16.55,86.2,10.4,8.5,54,72,11.4,19.6,14.0,8.89,26.8,12.0,17.0,37.0,42.0,2.655146339186393,0.2084006194770674,47.099311429486754,2.2415252566914283,4.238302837248644,-0.13554886306894115,3.727159501810318,-1.7818514181608083,1.6309711386202286,0.7054136575633585,115.09022007829411
544559748.0,47078.0,232039338.0,231372658.0,1341912670.0,1886472418.0,470828844.0,19564803.0,1396078771.0,98907019.0,1602325332.0,-1285836666.0,316488666.0,91694757.0,97804484.0,100459165.0,261679971.0,362139136.0,2654681.0,-84526790.0,-51448896.0,0.0,88072547.0,YBTAS,2023,0.24958162097019326,0.7400472743089955,2.9651513257756146,71.35664851826006,2.736398968887947,16.176429990120525,1.1104543285406794,0.6651824627804663,0.039084008489330586,0.04860646576386891,0.20772831836105607,0.05722605463994499,0.1919663031087052,2.9424233757358063,0.8493764958931936,0.2599527256910045,0.04601493999222375,0.424880206166101,0.12264831215782981,0.028567944660304736,-0.04543463893940597,0.0787759800298039,15.524987231759713,0,4.5,53.9,40.0,23.75,43.5,9.4,1.6,60,70,5.5,72.3,9.0,16.55,86.2,10.4,8.5,54.0,72.0,9.983264838807731,0.45690077818036773,871.9095764674963,2.489333376837607,3.8221942315193713,0.8638483639891733,10.398109027640182,10.34698373755921,2.345040509359835,1.867454751199018,96.11088514440993
457405524.0,5859386.0,239285598.0,203958076.0,1319823623.0,1777229147.0,461669363.0,14464424.0,1301095360.0,461046155.0,1375434328.0,-1169512841.0,205921487.0,20186154.0,25362634.0,-34637524.0,-56669314.0,-91306838.0,-60027238.0,-63078385.0,-55798066.0,0.0,103143482.0,YBTAS,2024,0.2597691827074227,0.732092067135111,2.8182406377267015,89.95141182255166,2.7719596026063993,14.23641114226187,0.9606659650893458,0.548980435593687,-0.0023991498266824228,0.011358216825373729,0.05493679250273317,0.014676203428303558,-0.051375951240799675,3.007034799168713,0.7739206451355819,0.267907932864889,-0.003099994607666939,0.4459020831589257,0.11476183380420331,-0.03724824893849518,0.010187561737229456,-0.07545585075761174,-1.9400188478586546,0,3.2,65.0,47.5,32.5,36.8,9.8,3.0,45,60,4.5,53.9,40.0,23.75,43.5,9.4,1.6,60.0,70.0,12.33903617860258,0.11131052488866255,925.3667242470216,0.5400842861615709,2.476546064433862,-0.16440304397055897,12.725626811082227,-3.339436830651979,-0.10796174220070902,2.756715645402365,68.15462825410947
69573490.0,5831559.0,34058905.0,4403466.0,1529091.0,71102581.0,63692352.0,2865613.0,4544617.0,-5384484.0,88168919.0,-71354497.0,16814422.0,9186473.0,9430316.0,5979656.0,-1107440.0,4872216.0,-3450660.0,-3870487.0,-2554921.0,0.0,1335812.0,YEOTK,2018,0.8957811531482943,0.06391634362752598,0.07135263273053569,1.5859144273842978,0.022973824740191873,5.867652750039869,1.0453067644917744,1.0232001481119744,0.0827134249880465,0.12920027474108148,0.14806041390966376,0.10419173904128279,0.06852375724588676,1.2672775075678968,1.2400241701493226,0.936083656372474,0.06670307481029682,0.06329229710914315,0.06193116955909097,0.0020595379146108317,-0.1165666709806989,-0.12664068112571852,-0.10338705892447275,1,3.0,16.3,24.0,4.83,39.0,10.9,1.9,14,20,3.75,17.950000000000003,13.0,7.95,32.9,11.45,2.05,35.5,39.0,21.498747675559063,1.4082829946777882,95.64273982564987,4.063477822610029,3.720072510447968,0.20557127173766027,22.466007752939376,1.1169372431079543,1.157987949832651,0.45089063644539146,54.238902585297396
125808738.0,6572041.0,52334335.0,3358551.0,1997672.0,127806410.0,98554652.0,7022738.0,22229019.0,-512268.0,208350208.0,-154448196.0,53902012.0,26018768.0,26314644.0,23012545.0,-5323893.0,17688652.0,-3302099.0,-22408169.0,-3575103.0,0.0,-8349082.0,YEOTK,2019,0.7711244842883859,0.17392726233371236,0.22555017494252833,3.1652923688737924,0.01892139956366226,7.675355680362844,1.191625752524989,1.2424597369589414,0.21324506337358196,0.20357952312407493,0.26700560010094704,0.12487997132213086,0.13840191583505085,1.6560869404794443,1.6302015524886428,0.8260727376662876,0.13080901747887863,0.026695689452031542,0.026278423750420655,0.07437924838299345,-0.12465666885990845,0.3901773823393202,1.807702930322975,0,0.9,15.2,12.0,5.67,17.4,13.7,-0.6,8,25,3.0,16.3,24.0,4.83,39.0,10.9,1.9,14.0,20.0,9.25349381146063,2.789039466799826,116.66540634151522,2.1729115010050766,1.4671813972397787,0.12456172425154577,9.912872851995452,2.103709120692773,1.7059605069886556,-0.7839120432222453,16.79942452962999
246499688.0,53117914.0,69593494.0,1302431.0,10312234.0,256811922.0,170175858.0,23139789.0,63496275.0,13759424.0,253465754.0,-168556666.0,84909088.0,49090608.0,49472003.0,37684350.0,-7772057.0,29912293.0,-11787653.0,-37798236.0,-3780381.0,0.0,7306320.0,YEOTK,2020,0.6626478111868965,0.24724815929690366,0.3731215211501975,2.744029990938984,0.053344021345566504,3.6693976768759646,1.2751150350493874,1.44084630970393,0.297197378554723,0.19115392937248452,0.2907110537383041,0.19367747802332302,0.11647548434297376,1.0282599384060884,0.9869703556830979,0.7527518407030963,0.301120876471541,0.005283702428053378,0.00507153635959315,-0.012425593751590414,-0.10847667310148934,-0.643231196805545,-4.00595800348688,0,1.9,12.3,10.25,7.01,23.6,13.2,2.2,34,36,0.9,15.2,12.0,5.67,17.4,13.7,-0.6,8.0,25.0,6.7921400646656895,2.5232318677167953,45.133591425574366,4.570788481350424,1.8752436757978859,0.22130342025165015,7.715706367206737,1.4326484574185774,10.104710870860583,0.2916133309418556,36.7913236524786
438699370.0,155119798.0,83256088.0,11810384.0,25210183.0,463909553.0,240403553.0,28802550.0,194703450.0,43671717.0,441509331.0,-308751591.0,132757740.0,89232569.0,111025385.0,71221710.0,-18390934.0,52830776.0,-39803675.0,-52558696.0,-10392578.0,-1540726.0,-17060788.0,YEOTK,2021,0.5182121201112666,0.4197013162175602,0.8099025474885556,6.759937922163142,0.09364640221399438,4.6092356405943224,1.6296041029946486,1.775718289820783,0.4274449959429915,0.19234906550846562,0.4618292184724907,0.20210800255997308,0.11388162985296403,1.0064052086512,0.9517142471950777,0.5802986837824398,0.44913165606459177,0.026921360748705884,0.02545837636587751,0.0011951361359811008,-0.14443569107562992,-0.03525610848802019,0.9398379637183578,0,11.4,19.6,14.0,8.89,26.8,12.0,17.0,37,42,1.9,12.3,10.25,7.01,23.6,13.2,2.2,34.0,36.0,7.254969681557732,2.3081887861015873,90.34101855564873,5.4164944686072785,10.849542418023885,1.29825058032379,8.124181572954157,2.232079945118095,15.815464849890686,-0.5148655173307026,227.48928185033535
2007774103.0,143282718.0,499012515.0,156239779.0,268002846.0,2275776949.0,1389340713.0,142829326.0,743606910.0,153806676.0,2951601608.0,-2317641496.0,633960112.0,444397804.0,507264940.0,287681595.0,-81262791.0,206418804.0,-241756366.0,-93008983.0,-36401382.0,-1279161.0,-81016580.0,YEOTK,2022,0.6104907221292011,0.3267485903338412,0.5352228600530473,5.206262122948056,0.17491716922941344,4.438585056405013,1.310412063866235,1.3326711775414588,0.2717460471122823,0.19527300520170618,0.36511198099468634,0.1505615808026081,0.09070256383900126,1.4700865020570495,1.2969643660803245,0.6732514096661588,0.2095246825736246,0.07781740922275458,0.0686533797034254,0.0029239396932405626,0.09227860201793447,0.3452501188852468,-0.17065058418930956,0,5.5,72.3,9.0,16.55,86.2,10.4,8.5,54,72,11.4,19.6,14.0,8.89,26.8,12.0,17.0,37.0,42.0,5.49441649916281,2.0308392540977445,320.90969957808244,12.978408265184818,7.133304013441784,0.4988641011145069,6.05926268699543,6.557795365559791,14.674286544063243,-0.32039573136567523,118.50073040899471
6352440525.0,1175965779.0,760855873.0,200918969.0,2188079291.0,8540519816.0,4971927378.0,1741815453.0,1826776985.0,515138119.0,9214700869.0,-7205213973.0,2009486896.0,902306447.0,1054177915.0,987533464.0,-408574085.0,578959379.0,-368710671.0,-196684048.0,-174867208.0,-46581142.0,1107576918.0,YEOTK,2023,0.582157466420894,0.21389529260006812,0.3674182758749056,1.0487775739121312,0.3259105012031105,1.1536738249387892,0.946184667018861,1.237250886491126,0.16164275439226966,0.1056500618744071,0.2120260081964536,0.0979203188283116,0.06778971204016934,1.4505764883174566,1.0789391123169076,0.7861047073999319,0.14981638217300225,0.03162862654270974,0.023525379406484595,-0.08962294332729907,-0.028333255708307026,-0.21802525376341686,-3.2849112314662237,0,4.5,53.9,40.0,23.75,43.5,9.4,1.6,60,70,5.5,72.3,9.0,16.55,86.2,10.4,8.5,54.0,72.0,23.28629865683576,0.9931105816194268,62.183019164200736,4.2595338690315545,4.8552260054260845,0.30505370418076205,31.444188295997275,3.6538654789651273,9.69856526353618,5.187398153096212,102.90639470075351
6159990250.0,1175800660.0,736041400.0,225070542.0,2932043008.0,9092033258.0,4124007033.0,2289838605.0,2678187620.0,1032886392.0,7584817699.0,-5025807899.0,2559009800.0,1786690093.0,1977060434.0,1109234443.0,-182240331.0,926994112.0,-922523122.0,-244360100.0,-269909553.0,-80051509.0,-145792331.0,YEOTK,2024,0.4535846840827735,0.2945642128666309,0.6494139312977258,1.169596675570067,0.45714274609737654,1.1175502912791533,0.9604207206833936,1.4391148367374766,0.2239304629917138,0.19651160992266578,0.47940277942780124,0.23556137588324125,0.10195674451414331,1.2313035234106093,0.8342267877568734,0.7054357871333691,0.2684287609534015,0.036537483480594796,0.024754698494086833,0.09086154804825868,-0.12857278233812053,-0.24471232456003422,-0.03612353365963594,0,3.2,65.0,47.5,32.5,36.8,9.8,3.0,45,60,4.5,53.9,40.0,23.75,43.5,9.4,1.6,60.0,70.0,21.545272493931744,1.9258137772421249,72.64076893314497,8.668658632503277,2.669525720821995,0.3262615824452586,33.50819988883503,6.627188393419315,10.07687083462712,-0.7616707425048884,73.37812608278742
13543582.0,6118.0,0.0,0.0,274029640.0,287573222.0,49201185.0,44522572.0,193849465.0,242562206.0,0.0,0.0,0.0,-72701722.0,-72698604.0,-72561234.0,16382179.0,-56179055.0,-17851.0,0.0,-446325.0,0.0,-3056581.0,YESIL,2018,0.1710909821777495,0.6740873286178224,3.9399348816497,4.353959268121348,2.9238012727125313,0.0,0.14450532536803876,0.27526942694571277,-0.12399486555810123,-0.2528111675154511,-1.477578314424744,-6.450100553534506,-0.19535565449831765,0.0,0.0,0.32591267138217755,0.0007217818675606663,0.0,0.0,-0.039157351444630256,-0.002541864978476006,0.0,0.0,0,3.0,16.3,24.0,4.83,39.0,10.9,1.9,14,20,3.75,17.950000000000003,13.0,7.95,32.9,11.45,2.05,35.5,39.0,4.106183572265988,-2.7556417259184167,0.0,-337.09192510439135,0.0,-0.5860669634949529,7.821904113172261,-3.184297168322578,-1.7359281178134172,-0.2550930976459275,58.43096421297689
